,Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
0,LP001001,1,1,2,0,0,1299,1086.0,17.0,120.0,1.0,2,1
1,LP001002,1,0,0,0,0,5849,0.0,141.0,360.0,1.0,2,1
2,LP001003,1,1,1,0,0,4583,1508.0,128.0,360.0,1.0,0,0
3,LP001004,1,1,0,0,1,3000,0.0,66.0,360.0,1.0,2,1
4,LP001005,1,1,0,1,0,2583,2358.0,120.0,360.0,1.0,2,1
5,LP001006,1,0,0,0,0,6000,0.0,141.0,360.0,1.0,2,1
6,LP001007,1,1,2,0,1,5417,4196.0,267.0,360.0,1.0,2,1
7,LP001008,1,1,0,1,0,2333,1516.0,95.0,360.0,1.0,2,1
8,LP001009,1,1,3,0,0,3036,2504.0,158.0,360.0,0.0,1,0
9,LP001010,1,1,2,0,0,4006,1526.0,168.0,360.0,1.0,2,1
10,LP001011,1,1,1,0,0,12841,10968.0,349.0,360.0,1.0,1,0
11,LP001012,1,1,2,0,0,3200,700.0,70.0,360.0,1.0,2,1
12,LP001013,1,1,2,0,1,2500,1840.0,109.0,360.0,1.0,2,1
13,LP001014,1,1,2,0,0,3073,8106.0,200.0,360.0,1.0,2,1
14,LP001015,1,0,0,0,0,1853,2840.0,114.0,360.0,1.0,0,0
15,LP001016,1,1,2,0,0,1299,1086.0,17.0,120.0,1.0,2,1
16,LP001017,1,0,0,0,0,4950,0.0,125.0,360.0,1.0,2,1
17,LP001018,1,0,1,1,0,3596,0.0,100.0,240.0,0.83661879,2,1
18,LP001019,0,0,0,0,0,3510,0.0,76.0,360.0,0.0,2,0
19,LP001020,1,1,0,1,0,4887,0.0,133.0,360.0,1.0,0,0
20,LP001021,1,1,0,0,1,2600,3500.0,115.0,334.0,1.0,2,1
21,LP001022,1,1,0,1,0,7660,0.0,104.0,360.0,0.0,2,0
22,LP001023,1,1,1,0,0,5955,5625.0,315.0,360.0,1.0,2,1
23,LP001024,1,1,0,1,0,2600,1911.0,116.0,360.0,0.0,1,0
24,LP001025,1,1,2,1,0,3365,1917.0,112.0,360.0,0.0,0,0
25,LP001026,1,1,1,0,1,3717,2925.0,151.0,360.0,0.83661879,1,0
26,LP001027,1,1,0,0,1,9560,0.0,191.0,360.0,1.0,1,1
27,LP001028,1,1,0,0,0,2799,2253.0,122.0,360.0,1.0,1,1
28,LP001029,1,1,2,1,0,4226,1040.0,110.0,360.0,1.0,2,1
29,LP001030,1,0,0,1,0,1442,0.0,35.0,360.0,1.0,2,0
30,LP001031,0,0,2,0,1,3750,2083.0,120.0,360.0,1.0,1,1
31,LP001032,1,1,1,0,1,4166,3369.0,201.0,360.0,0.83661879,2,0
32,LP001033,1,0,0,0,0,3167,0.0,74.0,360.0,1.0,2,0
33,LP001034,1,0,1,0,1,4692,0.0,106.0,360.0,1.0,0,0
34,LP001035,1,1,0,0,0,3500,1667.0,114.0,360.0,1.0,1,1
35,LP001036,1,0,3,0,0,12500,3000.0,320.0,360.0,1.0,0,0
36,LP001037,1,1,0,0,0,2275,2067.0,141.0,360.0,1.0,2,1
37,LP001038,1,1,0,0,0,1828,1330.0,100.0,334.0,0.0,2,0
38,LP001039,0,1,0,0,0,3667,1459.0,144.0,360.0,1.0,1,1
39,LP001040,1,0,0,0,0,4166,7210.0,184.0,360.0,1.0,2,1
40,LP001041,1,0,0,1,0,3748,1668.0,110.0,360.0,1.0,1,1
41,LP001042,1,0,0,0,0,3600,0.0,80.0,360.0,1.0,2,0
42,LP001043,1,0,0,0,0,1800,1213.0,47.0,360.0,1.0,2,1
43,LP001044,1,1,0,0,0,2400,0.0,75.0,360.0,0.83661879,2,1
44,LP001045,1,1,0,0,0,3941,2336.0,134.0,360.0,1.0,1,1
45,LP001046,1,1,0,1,1,4695,0.0,96.0,334.0,1.0,2,1
46,LP001047,0,0,0,0,0,3410,0.0,88.0,334.0,1.0,2,1
47,LP001048,1,1,1,0,0,5649,0.0,44.0,360.0,1.0,2,1
48,LP001049,1,1,0,0,0,5821,0.0,144.0,360.0,1.0,2,1
49,LP001050,0,1,0,0,0,2645,3440.0,120.0,360.0,0.0,2,0
50,LP001051,0,0,0,0,0,4000,2275.0,144.0,360.0,1.0,1,1
51,LP001052,0,1,0,1,0,1928,1644.0,100.0,360.0,1.0,1,1
52,LP001053,0,0,0,0,0,3086,0.0,120.0,360.0,1.0,1,1
53,LP001054,0,0,0,0,0,4230,0.0,112.0,360.0,1.0,1,0
54,LP001055,1,1,2,0,0,4616,0.0,134.0,360.0,1.0,2,0
55,LP001056,0,1,1,0,1,11500,0.0,286.0,360.0,0.0,2,0
56,LP001057,1,1,2,0,0,2708,1167.0,97.0,360.0,1.0,1,1
57,LP001058,1,1,0,0,0,2132,1591.0,96.0,360.0,1.0,1,1
58,LP001059,1,1,0,0,0,3366,2200.0,135.0,360.0,1.0,0,0
59,LP001060,1,1,1,0,0,8080,2250.0,180.0,360.0,1.0,2,1
60,LP001061,1,1,2,1,0,3357,2859.0,144.0,360.0,1.0,2,1
61,LP001062,1,1,0,0,0,2500,3796.0,120.0,360.0,1.0,2,1
62,LP001063,1,1,3,0,0,3029,0.0,99.0,360.0,1.0,2,1
63,LP001064,1,1,0,1,1,2609,3449.0,165.0,180.0,0.0,0,0
64,LP001065,1,1,1,0,0,4945,0.0,141.0,360.0,0.0,0,0
65,LP001066,0,0,0,0,0,4166,0.0,116.0,360.0,0.0,1,0
66,LP001067,1,1,0,0,0,5726,4595.0,258.0,360.0,1.0,1,0
67,LP001068,1,0,0,1,0,3200,2254.0,126.0,180.0,0.0,2,0
68,LP001069,1,1,1,0,0,10750,0.0,312.0,360.0,1.0,2,1
69,LP001070,1,1,3,1,1,7100,0.0,125.0,60.0,1.0,2,1
70,LP001071,0,0,0,0,0,4300,0.0,136.0,360.0,0.0,1,0
71,LP001072,1,1,0,0,0,3208,3066.0,172.0,360.0,1.0,2,1
72,LP001073,1,1,2,1,1,1875,1875.0,97.0,360.0,1.0,1,1
73,LP001074,1,0,0,0,0,3500,0.0,81.0,300.0,1.0,1,1
74,LP001075,1,1,3,1,0,4755,0.0,95.0,334.0,0.0,1,0
75,LP001076,1,1,3,0,1,5266,1774.0,187.0,360.0,1.0,1,1
76,LP001077,1,0,0,0,0,3750,0.0,113.0,480.0,1.0,2,0
77,LP001078,1,0,0,0,0,3750,4750.0,176.0,360.0,1.0,2,0
78,LP001079,1,1,1,0,1,1000,3022.0,110.0,360.0,1.0,2,0
79,LP001080,1,1,3,0,0,3167,4000.0,180.0,300.0,0.0,1,0
80,LP001081,1,1,3,1,1,3333,2166.0,130.0,360.0,0.83661879,1,1
81,LP001082,0,0,0,0,0,3846,0.0,111.0,360.0,1.0,1,1
82,LP001083,1,1,1,0,1,2395,0.0,141.0,360.0,1.0,1,1
83,LP001084,0,1,2,0,0,1378,1881.0,167.0,360.0,1.0,2,0
84,LP001085,1,1,0,0,0,6000,2250.0,265.0,360.0,0.83661879,1,0
85,LP001086,1,1,1,0,0,3988,0.0,50.0,240.0,1.0,2,1
86,LP001087,1,0,0,0,0,2366,2531.0,136.0,360.0,1.0,1,1
87,LP001088,1,1,2,1,0,3333,2000.0,99.0,360.0,0.83661879,1,1
88,LP001089,1,1,0,0,0,2500,2118.0,104.0,360.0,1.0,1,1
89,LP001090,1,0,0,0,0,8566,0.0,210.0,360.0,1.0,2,1
90,LP001091,1,1,0,0,0,5695,4167.0,175.0,360.0,1.0,1,1
91,LP001092,1,1,0,0,0,2958,2900.0,131.0,360.0,1.0,1,1
92,LP001093,1,1,2,0,0,6250,5654.0,188.0,180.0,1.0,1,1
93,LP001094,1,1,2,1,0,3273,1820.0,81.0,360.0,1.0,2,1
94,LP001095,1,0,0,0,0,4133,0.0,122.0,360.0,1.0,1,1
95,LP001096,1,0,0,1,0,3620,0.0,25.0,120.0,1.0,1,1
96,LP001097,1,0,0,0,1,6782,0.0,141.0,360.0,0.83661879,2,0
97,LP001098,0,1,0,0,0,2484,2302.0,137.0,360.0,1.0,1,1
98,LP001099,1,1,0,0,0,1977,997.0,50.0,360.0,1.0,1,1
99,LP001100,1,1,0,1,0,4188,0.0,115.0,180.0,1.0,1,1
100,LP001101,1,1,0,0,0,1759,3541.0,131.0,360.0,1.0,1,1
101,LP001102,1,1,2,1,0,4288,3263.0,133.0,180.0,1.0,2,1
102,LP001103,1,0,0,0,0,4843,3806.0,151.0,360.0,1.0,1,1
103,LP001104,1,1,0,0,0,13650,0.0,141.0,360.0,1.0,2,1
104,LP001105,1,1,0,0,0,4652,3583.0,141.0,360.0,1.0,1,1
105,LP001106,1,1,0,0,0,3816,754.0,160.0,360.0,1.0,2,1
106,LP001107,1,1,1,0,0,3052,1030.0,100.0,360.0,1.0,2,1
107,LP001108,1,1,2,0,0,11417,1126.0,225.0,360.0,1.0,2,1
108,LP001109,1,0,0,1,1,7333,0.0,120.0,360.0,1.0,0,0
109,LP001110,1,1,2,0,0,3800,3600.0,216.0,360.0,0.0,2,0
110,LP001111,1,1,3,1,0,2071,754.0,94.0,480.0,1.0,1,1
111,LP001112,1,0,0,0,0,5316,0.0,136.0,360.0,1.0,2,1
112,LP001113,0,1,0,0,1,2929,2333.0,139.0,360.0,1.0,1,1
113,LP001114,1,1,0,1,0,3572,4114.0,152.0,334.0,0.0,0,0
114,LP001115,0,0,1,0,1,7451,0.0,141.0,360.0,1.0,1,1
115,LP001116,1,0,0,0,1,5050,0.0,118.0,360.0,1.0,1,1
116,LP001117,1,1,1,0,0,14583,0.0,185.0,180.0,1.0,0,1
117,LP001118,0,1,0,0,0,3167,2283.0,154.0,360.0,1.0,1,1
118,LP001119,1,1,1,0,0,2214,1398.0,85.0,360.0,0.83661879,2,1
119,LP001120,1,1,0,0,0,5568,2142.0,175.0,360.0,1.0,0,0
120,LP001121,0,0,0,0,0,10408,0.0,259.0,360.0,1.0,2,1
121,LP001122,1,1,0,0,0,5667,2667.0,180.0,360.0,1.0,0,1
122,LP001123,0,0,0,0,0,4166,0.0,44.0,360.0,1.0,1,1
123,LP001124,0,0,0,0,0,2137,8980.0,137.0,360.0,0.0,1,1
124,LP001125,1,1,2,0,0,2957,0.0,81.0,360.0,1.0,1,1
125,LP001126,1,1,0,1,0,4300,2014.0,194.0,360.0,1.0,0,1
126,LP001127,0,0,0,0,0,3692,0.0,93.0,360.0,0.83661879,0,1
127,LP001128,1,1,3,0,0,23803,0.0,370.0,360.0,1.0,0,1
128,LP001129,1,0,0,0,0,3865,1640.0,141.0,360.0,1.0,0,1
129,LP001130,1,1,1,0,1,10513,3850.0,160.0,180.0,0.0,2,0
130,LP001131,1,1,0,0,0,6080,2569.0,182.0,360.0,0.83661879,0,0
131,LP001132,1,0,0,0,1,20166,0.0,650.0,480.0,0.83661879,2,1
132,LP001133,1,0,0,0,0,2014,1929.0,74.0,360.0,1.0,2,1
133,LP001134,1,0,0,0,0,2718,0.0,70.0,360.0,1.0,1,1
134,LP001135,1,1,0,0,1,3459,0.0,25.0,120.0,1.0,1,1
135,LP001136,1,0,0,0,0,4895,0.0,102.0,360.0,1.0,1,1
136,LP001137,1,1,3,0,0,4000,7750.0,290.0,360.0,1.0,1,0
137,LP001138,0,1,0,0,0,4583,0.0,84.0,360.0,1.0,0,0
138,LP001139,1,1,2,0,1,3316,3500.0,88.0,360.0,1.0,2,1
139,LP001140,1,0,0,0,0,14999,0.0,242.0,360.0,0.0,1,0
140,LP001141,1,1,2,1,0,4200,1430.0,129.0,360.0,1.0,0,0
141,LP001142,1,1,2,0,0,5042,2083.0,185.0,360.0,1.0,0,0
142,LP001143,1,0,0,0,0,5417,0.0,168.0,360.0,1.0,2,1
143,LP001144,1,0,0,0,1,6950,0.0,175.0,180.0,1.0,1,1
144,LP001145,1,1,0,0,0,2698,2034.0,122.0,360.0,1.0,1,1
145,LP001146,1,1,2,0,0,11757,0.0,187.0,180.0,1.0,2,1
146,LP001147,0,1,0,0,0,2330,4486.0,100.0,360.0,1.0,1,1
147,LP001148,0,1,2,0,0,14866,0.0,70.0,360.0,1.0,2,1
148,LP001149,1,1,1,0,0,1538,1425.0,30.0,360.0,1.0,2,1
149,LP001150,0,0,0,0,0,10000,1666.0,225.0,360.0,1.0,0,0
150,LP001151,1,1,0,0,0,4860,830.0,125.0,360.0,1.0,1,1
151,LP001152,1,0,0,0,0,6277,0.0,118.0,360.0,0.0,0,0
152,LP001153,1,1,0,0,1,2577,3750.0,152.0,360.0,1.0,0,1
153,LP001154,1,0,0,0,0,9166,0.0,244.0,360.0,1.0,2,0
154,LP001155,1,1,2,1,0,2281,0.0,113.0,360.0,1.0,0,0
155,LP001156,1,0,0,0,0,3254,0.0,50.0,360.0,1.0,2,1
156,LP001157,1,1,3,0,0,39999,0.0,600.0,180.0,0.0,1,1
157,LP001158,1,1,1,0,0,6000,0.0,160.0,360.0,0.83661879,0,1
158,LP001159,1,1,1,0,0,9538,0.0,187.0,360.0,1.0,2,1
159,LP001160,1,0,0,0,1,2980,2083.0,120.0,360.0,1.0,0,1
160,LP001161,1,1,0,0,0,4583,5625.0,255.0,360.0,1.0,1,1
161,LP001162,1,1,0,1,0,1863,1041.0,98.0,360.0,1.0,1,1
162,LP001163,1,1,0,0,0,7933,0.0,275.0,360.0,1.0,2,0
163,LP001164,1,1,1,0,0,3089,1280.0,121.0,360.0,0.0,1,0
164,LP001165,1,1,2,0,0,4167,1447.0,158.0,360.0,1.0,0,1
165,LP001166,1,1,0,0,0,9323,0.0,75.0,180.0,1.0,2,1
166,LP001167,1,1,0,0,0,3707,3166.0,182.0,334.0,1.0,0,1
167,LP001168,0,1,0,0,0,4583,0.0,112.0,360.0,1.0,0,0
168,LP001169,1,1,0,0,0,2439,3333.0,129.0,360.0,1.0,0,1
169,LP001170,1,0,0,0,0,2237,0.0,63.0,480.0,0.0,1,0
170,LP001171,1,1,2,0,0,8000,0.0,200.0,360.0,1.0,1,1
171,LP001172,1,1,0,1,1,1820,1769.0,95.0,360.0,1.0,0,1
172,LP001173,1,1,3,0,0,51763,0.0,700.0,300.0,1.0,2,1
173,LP001174,1,1,3,1,0,3522,0.0,81.0,180.0,1.0,0,0
174,LP001175,1,1,0,0,0,5708,5625.0,187.0,360.0,1.0,1,1
175,LP001176,1,1,0,1,1,4344,736.0,87.0,360.0,1.0,1,0
176,LP001177,1,1,0,0,0,3497,1964.0,116.0,360.0,1.0,0,1
177,LP001178,1,1,2,0,0,2045,1619.0,101.0,360.0,1.0,0,1
178,LP001179,1,1,3,0,0,5516,11300.0,495.0,360.0,0.0,1,0
179,LP001180,1,1,1,0,0,3750,0.0,116.0,360.0,1.0,1,1
180,LP001181,1,0,0,1,0,2333,1451.0,102.0,480.0,0.0,2,0
181,LP001182,1,1,1,0,0,6400,7250.0,180.0,360.0,0.0,2,0
182,LP001183,1,0,0,0,0,1916,5063.0,67.0,360.0,0.83661879,0,0
183,LP001184,1,1,0,0,0,4600,0.0,73.0,180.0,1.0,1,1
184,LP001185,1,1,1,0,0,33846,0.0,260.0,360.0,1.0,1,0
185,LP001186,0,1,0,0,0,3625,0.0,108.0,360.0,1.0,1,1
186,LP001187,1,1,0,0,1,39147,4750.0,120.0,360.0,1.0,1,1
187,LP001188,1,1,1,0,1,2178,0.0,66.0,300.0,0.0,0,0
188,LP001189,1,1,0,0,0,2383,2138.0,58.0,360.0,0.83661879,0,1
189,LP001190,1,1,0,0,1,674,5296.0,168.0,360.0,1.0,0,1
190,LP001191,1,1,0,0,0,9328,0.0,188.0,180.0,1.0,0,1
191,LP001192,1,0,0,1,0,4885,0.0,48.0,360.0,1.0,0,1
192,LP001193,1,0,0,0,0,12000,0.0,164.0,360.0,1.0,1,0
193,LP001194,1,1,0,1,0,6033,0.0,160.0,360.0,1.0,2,0
194,LP001195,1,0,0,0,0,3858,0.0,76.0,360.0,1.0,1,1
195,LP001196,1,0,0,0,0,4191,0.0,120.0,360.0,1.0,0,1
